State,Population,Governor
CA,39512223,democrat
TX,28995881,republican
FL,21477737,republican
NY,19453561,democrat
PA,12801989,democrat
IL,12671821,democrat
OH,11689100,republican
GA,10617423,republican
NC,10488084,democrat
MI,9986857,republican
NJ,8882190,democrat
VA,8535519,democrat
WA,7614893,democrat
AZ,7278717,republican
MA,6949503,democrat
TN,6833174,republican
IN,6732219,republican
MO,6137428,republican
MD,6045680,republican
WI,5822434,democrat
CO,5758736,democrat
MN,5639632,democrat
SC,5148714,republican
AL,4903185,republican
LA,4648794,democrat
KY,4467673,democrat
OR,4217737,democrat
OK,3956971,republican
CT,3565287,democrat
UT,3205958,republican
PR,3193694,none
IA,3155070,republican
NV,3080156,democrat
AR,3017825,republican
MS,2976149,republican
KS,2913314,democrat
NM,2096829,democrat
NE,1934408,republican
WV,1792147,republican
ID,1787065,republican
HI,1415872,democrat
NH,1359711,republican
ME,1344212,democrat
MT,1068778,democrat
RI,1059361,democrat
DE,973764,democrat
SD,884659,republican
ND,762062,republican
AK,731545,republican
DC,705749,none
VT,623989,republican
WY,578759,republican
GU,165718,none